,Title,Skills,Level,Link
0,Google AI," Vibe coding, Prompt Patterns, AI powered creativity, Brainstorming, Planning, AI literacy, Visual Storytelling, Responsible AI, Generative AI, Data Wrangling, Data Analysis, Content Creation, Artificial Intelligence, Presentations, Communication Planning, Business Communication, Data Visualization, Research, Project Management, Machine Learning",Beginner,https://www.coursera.org/professional-certificates/google-ai
1,Google Data Analytics," Data Storytelling, Rmarkdown, Data Visualization, Data Presentation, Data Ethics, Data Cleansing, Interactive Data Visualization, Data Validation, Ggplot2, Google Sheets, Sampling (Statistics), Spreadsheet Software, Data Analysis, Stakeholder Communications, LinkedIn, Object Oriented Programming (OOP), File Management, Web Presence, Data Structures, Interviewing Skills",Beginner,https://www.coursera.org/professional-certificates/google-data-analytics
2,Google Project Management," Quality Management, Project Closure, Scope Management, Team Management, Project Management Life Cycle, Product Quality (QA/QC), Sprint Retrospectives, Project Management, Project Planning, Agile Project Management, Quality Assessment, Quality Assurance, Backlogs, Team Leadership, Project Scoping, Agile Software Development, Stakeholder Communications, Change Management, Web Presence, Interviewing Skills",Beginner,https://www.coursera.org/professional-certificates/google-project-management
3,Google AI Essentials," Prompt Patterns, Google Gemini, Generative AI, AI literacy, Model Training, AI Integrations, Google Sheets, Critical Thinking, Innovation",Beginner,https://www.coursera.org/specializations/ai-essentials-google
4,Google Cybersecurity," Threat Modeling, Network Security, Threat Management, Vulnerability Management, Intrusion Detection and Prevention, Hardening, Computer Security Incident Management, Security Management, Cyber Threat Intelligence, Security Awareness, Incident Response, Cybersecurity, Network Protocols, Endpoint Detection and Response, Bash (Scripting Language), Debugging, Linux, Web Presence, Python Programming, SQL",Beginner,https://www.coursera.org/professional-certificates/google-cybersecurity
5,Google IT Support," IT Security Architecture, Computer Networking, Operating System Administration, Package and Software Management, Network Troubleshooting, Version Control, IT Automation, Systems Administration, IT Infrastructure, Network Administration, Information Systems Security, TCP/IP, Git (Version Control System), Chef (Configuration Management Tool), Network Security, General Networking, Ruby (Programming Language), Desktop Support, Web Presence, Interviewing Skills",Beginner,https://www.coursera.org/professional-certificates/google-it-support
6,Google Digital Marketing & E-commerce," Data Storytelling, Media Planning, Social Media Marketing, Google Ads, Email Marketing, Social Media Strategy, Order Fulfillment, Paid media, Social Media Management, Online Advertising, Search Engine Optimization, Performance Measurement, Spreadsheet Software, Client Services, Campaign Management, E-Commerce, Loyalty Programs, Marketing, Web Presence, Interviewing Skills",Beginner,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
7,Google UX Design," Responsive Web Design, Storyboarding, Wireframing, User Experience Design, UI/UX Research, User Experience, Usability Testing, Information Architecture, Presentations, Web Design, User Research, Design Thinking, Figma (Design Software), Usability, Design Reviews, Persona (User Experience), Web Content Accessibility Guidelines, Mobile Development, Web Presence, Interviewing Skills",Beginner,https://www.coursera.org/professional-certificates/google-ux-design
8,AI For Everyone," AI Product Strategy, Responsible AI, Data Ethics, AI Enablement, Applied Machine Learning, Artificial Intelligence, AI literacy, Machine Learning, Data Science, AI Integrations, Deep Learning, Artificial Neural Networks",Beginner,https://www.coursera.org/learn/ai-for-everyone
9,Machine Learning," Unsupervised Learning, Supervised Learning, Machine Learning Methods, Model Training, Applied Machine Learning, Machine Learning Algorithms, Transfer Learning, Machine Learning, Jupyter, Data Ethics, Decision Tree Learning, Model Evaluation, Responsible AI, Tensorflow, Scikit Learn (Machine Learning Library), NumPy, Predictive Modeling, Deep Learning, Artificial Intelligence, Classification Algorithms",Beginner,https://www.coursera.org/specializations/machine-learning-introduction
