Kategori_Pencarian,Posisi,Perusahaan,Lokasi,Link,Job_Description
data-scientist,CRM and Supply Chain Data Scientist,PT Balarama Prajakarsaka Indonesia,Indragiri Hilir,https://id.jobstreet.com/id/job/92216448?type=standard&ref=search-standalone&origin=cardTitle#sol=fcfbcfc5d0bb420164069447a26253f55e9407e5,"PT Balarama Prajakarsaka Indonesia
adalah perusahaan pemasok (
supply company
) terkemuka yang bergerak khusus di industri kelapa. Beroperasi di seluruh wilayah Indonesia dan melayani pasar internasional, kami berkomitmen penuh untuk menghadirkan produk turunan kelapa berkualitas tinggi yang berbasis pada keunggulan, konsistensi, dan keberlanjutan (
sustainability
).
Sebagai jembatan antara potensi pengadaan lokal dan pasar global, kami membangun jaringan yang kuat dengan para petani, pengepul, serta mitra industri. Demi mendukung pertumbuhan bisnis yang pesat dan menjaga efisiensi rantai pasok berstandar internasional, kami mengundang talenta profesional dan dinamis untuk bergabung bersama tim kami.
Deskripsi Pekerjaan :
Mengolah dan menganalisis data
supply chain
(rantai pasok) menyeluruh (
end-to-end
), serta data loyalitas dan program CRM yang berjalan.
Menganalisis perilaku anggota (
member
), termasuk status aktif, tidak aktif, retensi, dan
churn
.
Mengevaluasi efektivitas program dan kampanye loyalitas.
Membuat laporan,
insight
, dan dasbor sederhana untuk manajemen.
Mendukung pengembangan program loyalitas (tingkatan/tier,
reward
,
booster
, dll.).
Melakukan Analisa
Big Data
yang tersegmentasi dan terarah.
Bersinergi dengan tim IT Internal untuk memberikan rekomendasi dalam transformasi digitalisasi data.
Kualifikasi :
Pendidikan minimal S1 di bidang Matematika & Statistika, Ilmu Komputer & Teknik, Teknik Industri, Ekonomi, atau Keuangan.
Minimal 1 tahun dalam transformasi data, digitalisasi data, dan integrasi data.
Memiliki pengalaman di bidang CRM, loyalitas, integrasi data, atau
supply chain
.
Terbiasa mengolah data menggunakan Excel, SQL, dan/atau Python/R.
Mampu menyusun dan mengolah banyak data yang belum rapi.
Dapat menjelaskan hasil analisis dengan bahasa yang mudah dipahami serta mampu menggunakan Power BI/Tableau/Looker.
Siap Kerja, memiliki pola pikir yang fokus pada inisiatif dan solusi.
Bersedia ditempatkan di Indragiri Hilir, Riau."
data-scientist,Data Analyst,Brilliant Think Center,Ciputat Timur,https://id.jobstreet.com/id/job/92203280?type=standard&ref=search-standalone&origin=cardTitle#sol=45389093f6078bd02b1421ed9f20d09aa67f7628,"What you'll be doing
Collect, clean, and organise data from various sources
Perform in-depth data analysis using statistical techniques and data modelling
Develop and maintain reporting dashboards and visualisations to present findings
Collaborate with cross-functional teams to understand business requirements and identify opportunities for data-driven improvements
Stay up-to-date with the latest data analysis tools and techniques
Provide recommendations and actionable insights to support business strategy
What we're looking for
Bachelor's degree in a quantitative field such as Mathematics, Statistics, or Computer Science
Minimum 3 years of experience as a Data Analyst or in a similar role
Proficient in data analysis tools and programming languages (e.g. SQL, Python, R)
Strong problem-solving and critical thinking skills
Excellent communication and presentation skills to effectively convey complex data insights
Experience working in the
Science & Technology
industry, particularly in
Mathematics, Statistics & Information Sciences
, is preferred"
data-scientist,Data Scientist,PT Sharing Vision Indonesia,Jakarta Pusat,https://id.jobstreet.com/id/job/92033644?type=standard&ref=search-standalone&origin=cardTitle#sol=40f0900eee3eb556f1979d148657e51c1e48d74d,"DATA SCIENTIST
(
BERTUGAS UNTUK MELAKUKAN PENGEMBANGAN PERMODELAN MACHINE LEARNING ATAU ARTIFICIAL INTELLIGENT YANG DIPERLUKAN UNTUK MENJAWAB PERMASALAH YANG INGIN DIPECAHKAN CLIENT
)
Penempatan WFO di Jakarta
Persyaratan:
Berpengalaman dalam pekerjaan terkait
data scientist
minimal 2 tahun
Pernah terlibat dalam beberapa
use case Data Science.
Pernah menggunakan Library (Langchain, LlamaIndex) dan pernah menggunakan Microsoft Specific (Azure OpenAI (LLM) dan Azure AI Search (search index/vector database)
Mempunyai sertifikasi
professional data scientist
seperti CDSM/CDSP
Advance
dalam bahasa pemrograman Python/PySpark untuk pemodelan
machine learning
Advance
dalam SQL
Advance
dalam teknik pemodelan
machine learning, artificial intelligent
dan statistik (i.e
classification, regression, clustering, fraud detection, credit scoring)
Advance
dalam menggunakan Tableau/Google Analytics/tools dashboard lainnya
Pengalaman dalam teknologi big data (Spark, Hive, Impala) lebih diutamakan
Memiliki sertifikasi atau training
data science
dari lembaga resmi"
data-scientist,DATA ANALYST,PT Mitra Saruta Indonesia,Surabaya,https://id.jobstreet.com/id/job/91735710?type=standard&ref=search-standalone&origin=cardTitle#sol=5d6a2f1c4b05aa4941047fadb2751d9e7635bdae,"Kualifikasi:
Pendidikan min S1 Akuntansi, Manajemen, Statistik, atau bidang terkait
Memiliki kemampuan analisis data dan statistik yang baik
Mampu mengolah dan menyajikan data dalam bentuk laporan yang sistematis dan mudah dipahami
Terbiasa menggunakan Microsoft Excel / Google Sheets (pivot, formula, dll)
Memiliki kemampuan berpikir kritis dan problem solving yang baik
Teliti, detail, dan memiliki kemampuan komunikasi yang baik
Mampu bekerja secara mandiri maupun dalam tim
Berpengalaman di bidang analisis data / keuangan menjadi nilai tambah
Mahir/Menguasai Excel, SQL, dan tools visualisasi data (Power BI/Tableau).
Familiar dengan ERP dan data operasional manufaktur"
data-scientist,Staff Data Analyst,PT Mensana Aneka Satwa,Bekasi,https://id.jobstreet.com/id/job/92027787?type=standard&ref=search-standalone&origin=cardTitle#sol=6d76f116e4b30ac4d2c3c3fa43162a0b97fd7f1f,"Kualifikasi :
- Pendidikan Min. S1 Statistik, Teknik Industri, Sistem Informasi dan yang relevant
- Memiliki 1 - 2 Thn pengalaman sebagai Data Analyst
- Menguasai Tools Pengolahan Data Microsoft Excel
- Mampu menggunalan Tools Visualization (Power BI/Tableau)
- Komunikatif dan mampu menjelaskan data ke non-teknis
- Memiliki kemampuan analitis
- Teliti, detail dan data-oriented
- Mampu bekerja secara individu maupun tim
- Memiliki manajemen waktu yang baik
- Proaktif dan memiliki inisiatif tinggi"
data-scientist,Data Engineer,TUNTUN SEKURITAS INDONESIA,Jakarta Utara,https://id.jobstreet.com/id/job/92218017?type=standard&ref=search-standalone&origin=cardTitle#sol=14cde2b58e523c352d9dcfb7409defdf4fa19e97,"PT Tuntun Sekuritas Indonesia is looking for candidates to fill Data Engineer role. This position will be responsible for designing, building, and maintaining robust data infrastructure that enables reliable, scalable, and high-quality data access across the organization.
Main Responsibilities:
Extract data using web scraping and API integrations.
Develop and maintain scalable data crawlers for diverse sources.
Developing and maintaining data pipelines for efficient data extraction, transformation, and loading (ETL) processes.
Ensure data quality through validation processes.
Document technical specifications and workflows
Collaborating with data analysts, data architects, and software engineers to understand data requirements and deliver relevant data sets.
Participating in data governance and compliance efforts to meet regulatory requirements.
Collaborating with cross-functional teams to drive data-driven decision-making within the organization.
Requirements:
More than 2 years of relevant experience or significant internship.
Proficiency in programming languages like Python, Java, or SQL.
Basic knowledge of data modeling and database management.
Familiarity with ETL (Extract, Transform, Load) processes.
Understanding of data warehousing concepts.
Must have experience of extracting data from HTML, and web crawling."
data-scientist,Data Scientist Intern,PT GOTO GOJEK TOKOPEDIA TBK,Jakarta Raya,https://id.jobstreet.com/id/job/91924068?type=standard&ref=search-standalone&origin=cardTitle#sol=369e27e55d3102048fd3d7093264326ea814d822,"About the Team
The GoTo KYC Data Science Team develops critical ML models and components that enhance the security and reliability of GoTo’s payment systems. Our team members come from diverse backgrounds, bringing expertise in mathematics, statistics, machine learning, and deep learning to solve complex business challenges in GoPay.
We are passionate about both data science techniques and business impact, fostering a culture of continuous learning and collaboration through internal forums, discussions, and knowledge-sharing sessions. If you’re excited about working at the intersection of AI and financial technology, we’d love to have you on board! 🚀
About GoTo Group
GoTo is the largest digital ecosystem in Indonesia. GoTo's mission is to 'empower progress' by offering technology infrastructure and solutions that help everyone to access and thrive in the digital economy.
The GoTo ecosystem provides a wide range of services, including mobility, delivery, payments, financial services, and technology solutions for merchants. The ecosystem also provides e-commerce services through Tokopedia and banking services through its partnership with Bank Jago.
About Gojek
Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market.
About GoTo Financial
GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last.
GoTo and its business units, including Gojek and GoToFinancial (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels.
#LI-ONSITE"
data-scientist,IT Quality & Data Integrity Officer,PT. Kalbio Global Medika,Cikarang Pusat,https://id.jobstreet.com/id/job/92221748?type=standard&ref=search-standalone&origin=cardTitle#sol=8135a8236220cfef4b052c4b4e8e64d2d17b5577,"Requirements :
Bachelor’s degree in computer related degree, pharmacy, or relevant major in life sciences or engineering.
Minimum 1 year experience in data integrity in a GxP environment.
Able to communicate in English and Bahasa.
Understand basic scripting of programming is a plus.
Job Descriptions :
Maintain, establish, and / or evaluate procedure(s) regarding computerized system validation and data integriy as per updated guideline and Quality Manual.
Establish Validation Plan and Schedule of Computerized System.
Generate or review any protocol and report related to computerized system validation and data integrity.
Implement qualifications and validations of computerized systems and equipment.
Investigate any technical deviations associated with related task.
Implement IT Quality aspects including but not limited to user access management, backup and restore management, time synchronization, audit trail review, and user access periodic review.
Implement GMP, GaMP, and data integrity principles."
data-scientist,Supervisor Data Analyst,PT Indako Trading Coy,Sumatera Utara,https://id.jobstreet.com/id/job/92061067?type=standard&ref=search-standalone&origin=cardTitle#sol=d9c8e50c78c599935ea406bab0f2ff00420e50ec,"Gambaran Umum Pekerjaan
Kami sedang mencari seorang Supervisor Data yang berpengalaman untuk bergabung dengan tim kami di PT Indako Trading Coy di Sumatera Utara. Sebagai Supervisor Data di bagian Pelayanan Konsumen, tugas dan tanggung jawabnya adalah mengelola, menganalisa, dan memonitor data operasional guna mendukung pengambilan keputusan yang strategis dan berbasis data.
Tanggung Jawab Utama
Mengelola dan memonitor pengolahan data operasional secara akurat dan tepat waktu.
Membuat, mengembangkan, dan memelihara dashboard serta laporan performa operasional menggunakan Power BI.
Melakukan analisa data untuk mengidentifikasi tren, produktivitas, performa layanan, dan area perbaikan operasional.
Memastikan validitas, konsistensi, dan integritas data yang digunakan dalam pelaporan dan pengambilan keputusan.
Berkoordinasi dengan tim operasional dan departemen terkait untuk mendukung kebutuhan reporting dan data analytics.
Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan
Minimal gelar sarjana (S1) dari jurusan Sistem Informasi, Matematika, Statistika, Manajemen, atau bidang terkait.
Memiliki pengalaman minimal 2–3 tahun di bidang data analytics, reporting, atau Customer Care Centre, dengan pengalaman supervisi menjadi nilai tambah.
Memiliki kemampuan analisa data yang kuat serta mampu mengolah data menjadi insight yang mendukung pengambilan keputusan bisnis.
Mahir menggunakan Microsoft Office dan Power BI. Menjadi nilai tambah bila mampu menggunakan KNIME, SQL, atau tools data analytics lainnya.
Memiliki kemampuan komunikasi, presentasi, dan koordinasi yang baik.
Memiliki kemampuan leadership, problem solving, disiplin, dan bertanggung jawab.
Manfaat Utama Perusahaan
Gaji yang kompetitif dan benefit remunerasi lainnya.
Program pengembangan karier yang kuat, termasuk kesempatan pelatihan dan promosi.
Lingkungan kerja yang kolaboratif dan mendukung, serta budaya kerja yang positif."
data-scientist,Data Analyst Revenue Staff,Taman Safari Indonesia,Bogor,https://id.jobstreet.com/id/job/92152253?type=standard&ref=search-standalone&origin=cardTitle#sol=b01f77a59235a7e685796ea899702d61779c45fa,"Tugas dan Tanggung Jawab
1. Pengolahan dan Analisa Data
· Mengumpulkan dan mengolah data penjualan dari berbagai unit bisnis.
· Melakukan analisa revenue harian, mingguan, bulanan, dan tahunan.
· Menganalisa trend visitor, transaksi, average spending, occupancy, dan performa penjualan.
· Membuat perbandingan actual vs budget serta year on year performance.
2. Reporting dan Dashboard
· Menyusun laporan revenue management secara berkala.
· Membuat dashboard monitoring revenue dan visitor.
· Menyajikan data dalam bentuk tabel, grafik, dan presentasi management.
· Memastikan akurasi dan validitas data yang digunakan dalam laporan.
3. Monitoring Performance Business Unit
· Melakukan monitoring performa penjualan tiap outlet
· Mengidentifikasi dengan performa tinggi maupun rendah.
· Memberikan insight dan rekomendasi berdasarkan hasil analisa data.
4. Forecasting dan Evaluasi
· Membantu penyusunan forecast revenue.
· Melakukan evaluasi terhadap pencapaian target perusahaan.
· Membantu analisa efektivitas promo, event, dan program penjualan.
5. Database dan Administrasi Data
· Mengelola database revenue dan visitor perusahaan.
· Memastikan data tersimpan dengan baik dan mudah diakses.
· Melakukan validasi dan pengecekan konsistensi data dari berbagai sumber.
6. Koordinasi Internal
· Berkoordinasi dengan Finance, Marketing, IT, Reservation, dan Operasional terkait kebutuhan data.
· Mendukung kebutuhan data untuk meeting management dan presentasi perusahaan.
Kualifikasi
· Bidang : Statistik, Matematika, Management, Akuntansi, Sistem Informasi, atau bidang terkait.
· Menguasai Microsoft Excel, terutama Pivot Table dan formula analisa data.
· Memiliki kemampuan analisa dan interpretasi data yang baik.
· Teliti, detail, dan mampu bekerja dengan deadline.
· Mampu membuat dashboard dan presentasi data management.
· Diutamakan memiliki pengalaman di bidang data analyst atau revenue analyst."
